Name	PropCovLoci	NoLoci	Polymorphic	PropPolymorphic	AvSNPCount	SDSNPCount	AvSNPdensity	SDSNPdenisty	CummNoLoci	CummPolymorphic	CummPropPolymorphic	CummAvSNPCount	CummSDSNPCount	CummAvSNPdensity	CummSDSNPdenisty
5_10_1	0.5	2472	2457	0.99	10.6	6.1	0.04533	0.026	7686	7662	1.0	12.8	6.7	0.0544	0.02845
5_10_1	0.42	3734	3689	0.99	9.0	5.6	0.03862	0.02412	11420	11351	0.99	11.5	6.6	0.04927	0.02811
5_10_1	0.33	5945	5756	0.97	7.0	4.9	0.03031	0.02116	17365	17107	0.99	10.0	6.5	0.04289	0.02748
5_10_1	0.25	10840	9936	0.92	5.4	4.3	0.02329	0.01876	28205	27043	0.96	8.3	6.2	0.03569	0.02639
5_10_1	0.17	27264	20795	0.76	3.6	3.3	0.016	0.01461	55469	47838	0.86	6.3	5.7	0.02713	0.02412
5_10_1	0.08	196205	18595	0.09	3.3	3.3	0.01476	0.01511	251674	66433	0.26	5.4	5.3	0.02367	0.02266
7_8_1	1.0	189	189	1.0	15.8	6.9	0.06679	0.02883	189	189	1.0	15.8	6.9	0.06679	0.02883
7_8_1	0.92	411	411	1.0	15.2	6.8	0.06486	0.02899	600	600	1.0	15.4	6.8	0.06547	0.02893
7_8_1	0.83	600	599	1.0	15.2	6.9	0.06433	0.02861	1200	1199	1.0	15.3	6.8	0.0649	0.02877
7_8_1	0.75	857	856	1.0	14.8	6.7	0.06276	0.02828	2057	2055	1.0	15.1	6.8	0.06401	0.02857
7_8_1	0.67	1276	1274	1.0	13.3	6.2	0.05663	0.02613	3333	3329	1.0	14.4	6.6	0.06119	0.02789
7_8_1	0.58	1675	1672	1.0	12.2	6.3	0.05184	0.02688	5008	5001	1.0	13.7	6.6	0.05806	0.0279
7_8_1	0.5	2355	2340	0.99	10.6	6.0	0.04534	0.02568	7363	7341	1.0	12.7	6.6	0.05401	0.02785
7_8_1	0.42	3444	3401	0.99	8.9	5.5	0.03825	0.02359	10807	10742	0.99	11.5	6.5	0.04902	0.02757
7_8_1	0.33	5615	5433	0.97	7.0	4.8	0.03028	0.02055	16422	16175	0.98	10.0	6.3	0.04272	0.02692
7_8_1	0.25	10250	9393	0.92	5.3	4.2	0.02282	0.01794	26672	25568	0.96	8.3	6.1	0.03541	0.02586
7_8_1	0.17	25530	19523	0.76	3.6	3.3	0.01588	0.01421	52202	45091	0.86	6.3	5.6	0.02696	0.02367
7_8_1	0.08	181246	18410	0.1	3.2	3.1	0.01422	0.01405	233448	63501	0.27	5.4	5.2	0.02327	0.0221
7_4_1	1.0	177	177	1.0	15.0	6.6	0.06389	0.0281	177	177	1.0	15.0	6.6	0.06389	0.0281
7_4_1	0.92	393	391	0.99	14.5	6.4	0.06186	0.02712	570	568	1.0	14.7	6.5	0.06249	0.02742
7_4_1	0.83	602	601	1.0	14.3	6.2	0.06058	0.02642	1172	1169	1.0	14.5	6.3	0.06151	0.02692
7_4_1	0.75	869	868	1.0	13.4	6.2	0.05685	0.02582	2041	2037	1.0	14.0	6.3	0.05952	0.02655
