Name	PropCovLoci	NoLoci	Polymorphic	PropPolymorphic	AvSNPCount	SDSNPCount	AvSNPdensity	SDSNPdensity	AvHet	SDHet	CummNoLoci	CummPolymorphic	CummPropPolymorphic	CummAvSNPCount	CummSDSNPCount	CummAvSNPdensity	CummSDSNPdensity	CummAvHet	CummSDHet
3_15_10	0.92	553	553	1.0	27.5	10.0	0.11667	0.04199	0.0605	0.03508	842	842	1.0	27.1	10.2	0.11528	0.04321	0.06018	0.03451
3_15_10	0.83	1270	1269	1.0	25.9	9.8	0.1096	0.04155	0.07139	0.04492	2112	2111	1.0	26.4	10.0	0.11187	0.0423	0.06692	0.04144
3_15_10	0.75	1749	1749	1.0	23.7	9.5	0.10096	0.04083	0.07264	0.04402	3861	3860	1.0	25.2	9.9	0.10692	0.04199	0.06951	0.04272
3_15_10	0.67	2409	2408	1.0	21.8	9.0	0.09307	0.03882	0.07301	0.05301	6270	6268	1.0	23.9	9.7	0.1016	0.04135	0.07085	0.04697
3_15_10	0.58	3067	3067	1.0	19.8	8.4	0.08454	0.03582	0.07505	0.05695	9337	9335	1.0	22.5	9.5	0.096	0.04042	0.07223	0.0505
3_15_10	0.5	3848	3840	1.0	17.1	8.2	0.07343	0.03512	0.07668	0.06613	13185	13175	1.0	20.9	9.4	0.08942	0.04028	0.07353	0.05555
3_15_10	0.42	4978	4958	1.0	14.5	7.4	0.06232	0.03197	0.07406	0.07327	18163	18133	1.0	19.2	9.4	0.08201	0.04005	0.07367	0.0609
3_15_10	0.33	6876	6824	0.99	11.9	6.8	0.05152	0.02941	0.07351	0.08825	25039	24957	1.0	17.2	9.3	0.07367	0.03983	0.07363	0.06946
3_15_10	0.25	11553	11254	0.97	8.9	5.7	0.03889	0.02519	0.07698	0.11486	36592	36211	0.99	14.6	9.2	0.06286	0.03937	0.07467	0.08618
3_15_10	0.17	28331	24826	0.88	5.3	4.1	0.02376	0.01844	0.08108	0.16397	64923	61037	0.94	10.8	8.8	0.04696	0.03777	0.07728	0.1239
3_15_10	0.08	123068	7091	0.06	2.3	2.6	0.01066	0.01315	1.0	0.0	187991	68128	0.36	9.9	8.8	0.04318	0.03767	0.17332	0.3052
3_2_15	1.0	294	294	1.0	27.8	11.4	0.11837	0.04863	0.05397	0.02863	294	294	1.0	27.8	11.4	0.11837	0.04863	0.05397	0.02863
3_2_15	0.92	670	670	1.0	28.4	10.7	0.12063	0.04452	0.05801	0.03646	964	964	1.0	28.3	10.9	0.11994	0.0458	0.05678	0.0343
3_2_15	0.83	1383	1383	1.0	26.6	10.8	0.11272	0.04561	0.06656	0.04741	2347	2347	1.0	27.3	10.9	0.11569	0.04581	0.06254	0.04278
3_2_15	0.75	2005	2004	1.0	24.6	10.2	0.10451	0.04349	0.06764	0.04471	4352	4351	1.0	26.1	10.7	0.11054	0.0451	0.06489	0.04375
3_2_15	0.67	2802	2802	1.0	22.5	9.7	0.09614	0.04167	0.06457	0.04836	7154	7153	1.0	24.7	10.4	0.1049	0.04434	0.06476	0.04561
3_2_15	0.58	3566	3565	1.0	20.3	9.0	0.08696	0.03875	0.065	0.0546	10720	10718	1.0	23.2	10.2	0.09893	0.04339	0.06484	0.04878
3_2_15	0.5	4677	4674	1.0	17.9	8.7	0.07686	0.03747	0.06393	0.05998	15397	15392	1.0	21.6	10.1	0.09223	0.0429	0.06456	0.05243
3_2_15	0.42	5726	5711	1.0	15.1	7.8	0.06519	0.03408	0.06097	0.06703	21123	21103	1.0	19.9	9.9	0.08491	0.04244	0.06359	0.05678
3_2_15	0.33	7854	7794	0.99	12.3	7.1	0.05356	0.03096	0.05885	0.07786	28977	28897	1.0	17.8	9.8	0.07645	0.04204	0.06231	0.06319
3_2_15	0.25	12405	12097	0.98	9.2	6.0	0.04062	0.02641	0.06029	0.10194	41382	40994	0.99	15.3	9.7	0.06588	0.04146	0.06172	0.0767
3_2_15	0.17	28673	25271	0.88	5.6	4.3	0.02512	0.01981	0.06281	0.14507	70055	66265	0.95	11.6	9.4	0.05033	0.04006	0.06213	0.10801
3_2_15	0.08	116183	5275	0.05	1.6	1.3	0.00724	0.00603	1.0	0.0	186238	71540	0.38	10.8	9.4	0.04715	0.0402	0.13129	0.26623
3_8_10	1.0	280	280	1.0	27.3	10.9	0.11631	0.04624	0.06045	0.03452	280	280	1.0	27.3	10.9	0.11631	0.04624	0.06045	0.03452
3_8_10	0.92	585	585	1.0	27.7	9.9	0.11765	0.04195	0.05789	0.03354	865	865	1.0	27.6	10.3	0.11722	0.04337	0.05872	0.03386
3_8_10	0.83	1284	1284	1.0	25.9	9.9	0.10984	0.04182	0.06936	0.042	2149	2149	1.0	26.6	10.1	0.11281	0.0426	0.06508	0.03927
3_8_10	0.75	1826	1825	1.0	23.7	9.5	0.10084	0.04044	0.07221	0.04502	3975	3974	1.0	25.3	9.9	0.10731	0.04204	0.06835	0.04215
3_8_10	0.67	2572	2571	1.0	21.7	9.2	0.09295	0.0394	0.07097	0.05079	6547	6545	1.0	23.9	9.8	0.10167	0.04162	0.06938	0.04575
3_8_10	0.58	3217	3216	1.0	19.9	8.4	0.08491	0.03598	0.07163	0.05445	9764	9761	1.0	22.6	9.5	0.09615	0.04062	0.07012	0.0488
3_8_10	0.5	4070	4061	1.0	17.2	8.1	0.07372	0.03488	0.07213	0.06206	13834	13822	1.0	21.0	9.5	0.08956	0.04033	0.07071	0.05305
3_8_10	0.42	5195	5176	1.0	14.5	7.3	0.06242	0.03165	0.06951	0.07074	19029	18998	1.0	19.2	9.4	0.08216	0.04003	0.07038	0.0584
3_8_10	0.33	7149	7091	0.99	11.8	6.7	0.05132	0.02882	0.0701	0.08788	26178	26089	1.0	17.2	9.3	0.07378	0.03976	0.07031	0.06769
